fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 111.jpg;0.25;265.57;247.88;486.86;468.65;
jpgImages\video\frames\moana_1080p_2min 112.jpg;0.77;393.86;131.47;907.67;487.93;
jpgImages\video\frames\moana_1080p_2min 112.jpg;0.57;259.51;252.61;461.29;470.77;
jpgImages\video\frames\moana_1080p_2min 113.jpg;0.72;287.52;264.52;399.17;469.83;
jpgImages\video\frames\moana_1080p_2min 113.jpg;0.66;425.04;129.94;929.05;480.92;
jpgImages\video\frames\moana_1080p_2min 114.jpg;0.84;189.91;67.08;794.75;519.06;
jpgImages\video\frames\moana_1080p_2min 114.jpg;0.22;424.34;175.73;822.68;431.14;
jpgImages\video\frames\moana_1080p_2min 115.jpg;0.92;741.65;180.54;1023.10;486.53;
jpgImages\video\frames\moana_1080p_2min 116.jpg;0.93;193.45;85.13;611.26;507.62;
jpgImages\video\frames\moana_1080p_2min 117.jpg;1.00;277.74;115.81;531.50;504.05;
jpgImages\video\frames\moana_1080p_2min 118.jpg;1.00;223.21;108.04;528.69;507.29;
jpgImages\video\frames\moana_1080p_2min 119.jpg;1.00;256.92;80.02;863.35;509.98;
jpgImages\video\frames\moana_1080p_2min 119.jpg;0.31;30.63;103.05;583.11;503.91;
jpgImages\video\frames\moana_1080p_2min 120.jpg;1.00;225.31;88.35;828.76;502.57;
jpgImages\video\frames\moana_1080p_2min 121.jpg;0.99;259.93;96.27;806.47;508.22;
jpgImages\video\frames\moana_1080p_2min 121.jpg;0.30;27.64;155.93;509.28;509.59;
jpgImages\video\frames\moana_1080p_2min 122.jpg;1.00;224.21;99.10;773.51;503.44;
jpgImages\video\frames\moana_1080p_2min 122.jpg;0.79;424.94;47.50;993.00;506.45;
jpgImages\video\frames\moana_1080p_2min 122.jpg;0.41;869.73;181.05;1021.87;496.60;
jpgImages\video\frames\moana_1080p_2min 122.jpg;0.23;27.75;157.95;516.34;508.78;
jpgImages\video\frames\moana_1080p_2min 123.jpg;1.00;282.99;87.60;831.94;497.02;
jpgImages\video\frames\moana_1080p_2min 123.jpg;0.77;482.73;62.64;1066.67;526.91;
jpgImages\video\frames\moana_1080p_2min 123.jpg;0.48;60.57;103.61;609.79;503.71;
jpgImages\video\frames\moana_1080p_2min 124.jpg;1.00;321.64;73.57;909.33;508.89;
jpgImages\video\frames\moana_1080p_2min 124.jpg;0.61;66.50;26.74;667.59;519.29;
jpgImages\video\frames\moana_1080p_2min 125.jpg;0.99;316.77;70.76;918.47;491.34;
jpgImages\video\frames\moana_1080p_2min 126.jpg;0.99;270.84;66.89;854.65;494.03;
jpgImages\video\frames\moana_1080p_2min 126.jpg;0.48;38.95;78.11;625.91;526.17;
jpgImages\video\frames\moana_1080p_2min 127.jpg;0.99;145.47;118.10;466.58;513.28;
jpgImages\video\frames\moana_1080p_2min 128.jpg;1.00;190.71;119.70;484.46;505.09;
jpgImages\video\frames\moana_1080p_2min 129.jpg;1.00;194.09;124.01;540.21;498.75;
jpgImages\video\frames\moana_1080p_2min 130.jpg;1.00;197.73;120.36;552.41;501.44;
jpgImages\video\frames\moana_1080p_2min 131.jpg;1.00;213.86;111.75;584.81;508.43;
jpgImages\video\frames\moana_1080p_2min 132.jpg;1.00;489.87;163.52;715.69;443.78;
jpgImages\video\frames\moana_1080p_2min 132.jpg;0.68;147.64;136.14;387.27;497.23;
jpgImages\video\frames\moana_1080p_2min 133.jpg;1.00;445.67;158.47;744.87;448.04;
jpgImages\video\frames\moana_1080p_2min 133.jpg;0.59;130.15;133.41;420.91;501.53;
jpgImages\video\frames\moana_1080p_2min 134.jpg;0.99;494.26;169.35;755.36;448.48;
jpgImages\video\frames\moana_1080p_2min 134.jpg;0.28;95.74;120.08;507.05;504.01;
jpgImages\video\frames\moana_1080p_2min 135.jpg;0.95;435.27;178.18;758.84;445.81;
jpgImages\video\frames\moana_1080p_2min 135.jpg;0.50;116.26;133.16;369.14;494.71;
