fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\HTB1VDPjKkOWBuNjSsppq6xPgpXav.jpg;0.64;-12.01;159.99;560.50;781.20;
jpgImages\video\frames\HTB1VDPjKkOWBuNjSsppq6xPgpXav.jpg;0.35;498.61;104.70;814.70;704.50;
jpgImages\video\frames\moana_1080p_2min 132.jpg;1.00;489.87;163.52;715.69;443.78;
jpgImages\video\frames\moana_1080p_2min 132.jpg;0.68;147.64;136.14;387.27;497.23;
jpgImages\video\frames\moana_1080p_2min 133.jpg;1.00;445.67;158.47;744.87;448.04;
jpgImages\video\frames\moana_1080p_2min 133.jpg;0.59;130.15;133.41;420.91;501.53;
jpgImages\video\frames\moana_1080p_2min 134.jpg;0.99;494.26;169.35;755.36;448.48;
jpgImages\video\frames\moana_1080p_2min 134.jpg;0.28;95.74;120.08;507.05;504.01;
jpgImages\video\frames\moana_1080p_2min 135.jpg;0.95;435.27;178.18;758.84;445.81;
jpgImages\video\frames\moana_1080p_2min 135.jpg;0.50;116.26;133.16;369.14;494.71;
jpgImages\video\frames\moana_1080p_2min 136.jpg;0.87;107.41;135.31;440.92;485.66;
jpgImages\video\frames\moana_1080p_2min 136.jpg;0.64;475.91;99.96;759.98;442.11;
jpgImages\video\frames\moana_1080p_2min 137.jpg;0.97;98.06;131.94;441.96;484.92;
jpgImages\video\frames\moana_1080p_2min 137.jpg;0.80;543.54;133.76;760.31;417.01;
jpgImages\video\frames\moana_1080p_2min 138.jpg;0.96;82.60;114.12;411.01;495.12;
jpgImages\video\frames\moana_1080p_2min 138.jpg;0.90;499.76;137.12;766.70;459.14;
jpgImages\video\frames\moana_1080p_2min 139.jpg;0.98;401.36;123.12;845.98;479.47;
jpgImages\video\frames\moana_1080p_2min 139.jpg;0.98;84.11;119.20;403.96;489.94;
